,Name,Type,Park Code,Org Code,Region,NameType
302,ORGAN PIPE CACTUS    ,NM,ORPI,8660,IMR,ORGAN PIPE CACTUS NM
303,OVERMOUNTAIN VICTORY,NHT,OVVI,5520,SER,OVERMOUNTAIN VICTORY NHT
304,OZARK NATIONAL SCENIC RIVERWAY,NSR,OZAR,6640,MWR,OZARK NATIONAL SCENIC RIVERWAY NSR
305,PADRE ISLAND    ,NS,PAIS,7490-7499,IMR,PADRE ISLAND NS
306,PALO ALTO        ,NHP,PAAL,7580,IMR,PALO ALTO NHP
309,PEA RIDGE       ,NMP,PERI,7330,MWR,PEA RIDGE NMP
310,PEARL HARBOR (USS Arizona) (Honouliuli NM) ,NMEM,PERL,8895,PWR,PEARL HARBOR (USS Arizona) (Honouliuli NM) NMEM
311,PECOS    ,NHP,PECO,7500,IMR,PECOS NHP
313,PERRY’S VICTORY AND INTERNATIONAL PEACE MEMORIAL,NMEM,PEVI,6516,MWR,PERRY’S VICTORY AND INTERNATIONAL PEACE MEMORIAL NMEM
314,PETERSBURG      ,NB,PETE,4770,NER,PETERSBURG NB
315,PETRIFIED FOREST    ,NP,PEFO,8430,IMR,PETRIFIED FOREST NP
316,PETROGLYPH    ,NM,PETR,7570,IMR,PETROGLYPH NM
317,PICTURED ROCKS     ,NL,PIRO,6516,MWR,PICTURED ROCKS NL
318,PIPE SPRING    ,NM,PISP,1510,IMR,PIPE SPRING NM
319,PIPESTONE     ,NM,PIPE,6540,MWR,PIPESTONE NM
320,PINNACLES    ,NP,PINN,8450,PWR,PINNACLES NP
322,POINT REYES    ,NS,PORE,8450,PWR,POINT REYES NS
323,PU'UHONUA O HONAUNAU     ,NHP,PUHO,8280-8283,PWR,PU'UHONUA O HONAUNAU NHP
324,PU'UKOHOLA HEIAU      ,NHS,PUHE,8310-8313,PWR,PU'UKOHOLA HEIAU NHS
325,PORT CHICAGO NAVAL MAGAZINE,NM,POCH,8500,PWR,PORT CHICAGO NAVAL MAGAZINE NM
326,POTOMAC HERITAGE      ,NST,POHT,3991,NCR,POTOMAC HERITAGE NST
328,PRESIDENT WILLIAM JEFFERSON CLINTON BIRTHPLACE HOME,NHS,WICL,6365,MWR,PRESIDENT WILLIAM JEFFERSON CLINTON BIRTHPLACE HOME NHS
329,PRINCE WILLIAM FOREST PARK,OTHER,PRWI,3701-3714,NCR,PRINCE WILLIAM FOREST PARK OTHER
331,RAINBOW BRIDGE    ,NM,RABR,1449,IMR,RAINBOW BRIDGE NM
332,RECONSTRUCTION ERA,NM,REER,5750,SER,RECONSTRUCTION ERA NM
333,REDWOOD,NP,REDW,8480,PWR,REDWOOD NP
334,RICHMOND      ,NBP,RICH,4800-4804,NER,RICHMOND NBP
335,RIO GRANDE      ,W&SR,RIGR,7560,IMR,RIO GRANDE W&SR
