State,Park,Recreation Visitors,Percent Change
GA,Fort Frederica NM,"245,214",188.96%
GA,Fort Pulaski NM,"471,077",12.30%
GA,Jimmy Carter NHP,"35,308",27.86%
GA,Kennesaw Mountain NBP,"1,322,003",-26.59%
GA,"Martin Luther King, Jr. NHP","242,789",766.05%
GA,Ocmulgee Mounds NHP,"155,242",20.51%
GU,War in the Pacific NHP,"380,578",3.66%
HI,Haleakala NP,"1,087,616",27.48%
HI,Hawaii Volcanoes NP,"1,580,961",25.20%
HI,Kalaupapa NHP,"38,771",53.54%
HI,Kaloko Honokohau NHP,"291,342",10.92%
HI,Pearl Harbor NMEM,"1,545,582",30.39%
HI,Pu'uhonua o Honaunau NHP,"311,441",24.12%
HI,Pu'ukohola Heiau NHS,"31,602",29.91%
ID,City of Rocks NRES,"83,996",-13.74%
ID,Craters of the Moon NM & PRES,"237,774",-12.21%
ID,Hagerman Fossil Beds NM,"25,122",205.03%
ID,Minidoka NHS,"4,971",-19.74%
ID,Nez Perce NHP,"344,517",11.43%
IL,Lincoln Home NHS,"145,144",61.34%
IN,George Rogers Clark NHP,"123,229",6.15%
IN,Indiana Dunes NP,"2,834,180",-10.80%
IN,Lincoln Boyhood NMEM,"105,819",-7.46%
IA,Effigy Mounds NM,"56,422",-15.45%
IA,Herbert Hoover NHS,"103,804",48.62%
KS,Brown v. Board of Education NHP,"15,564",70.79%
KS,Fort Larned NHS,"26,219",-10.95%
KS,Fort Scott NHS,"26,854",17.30%
KS,Nicodemus NHS,"5,307",14.65%
KS,Tallgrass Prairie NPRES,"24,795",-29.16%
KY,Abraham Lincoln Birthplace NHP,"265,707",5.78%
KY,Big South Fork NRRA,"327,067",-4.43%
KY,Camp Nelson NM,"16,217",-62.37%
KY,Cumberland Gap NHP,"681,612",-9.97%
KY,Mammoth Cave NP,"663,147",28.57%
LA,Cane River Creole NHP,"14,811",-1.15%
LA,Jean Lafitte NHP & PRES,"269,748",8.88%
LA,New Orleans Jazz NHP,"37,410",45.28%
ME,Acadia NP,"3,970,260",-2.43%
ME,Katahdin Woods and Waters NM,"43,231",9.49%
ME,Saint Croix Island IHS,"12,139",17.87%
MD,Antietam NB,"115,619",4.59%
MD,Assateague Island NS,"772,289",-12.11%
MD,Catoctin Mountain Park,"450,322",-13.46%
MD,Chesapeake & Ohio Canal NHP,"3,257,501",-14.37%
MD,Clara Barton NHS,673,
MD,Fort McHenry NM & HS,"223,957",49.23%
MD,Fort Washington Park,"406,917",-36.05%
MD,Greenbelt Park,"60,800",154.47%
MD,Hampton NHS,"12,506",39.86%
MD,Monocacy NB,"127,111",-7.42%
MD,National Capital Parks East,"126,785",4.28%
MD,Piscataway Park,"243,212",-13.00%
MD,Thomas Stone NHS,"4,821",21.53%
MA,Adams NHP,"12,848",-37.87%
MA,Boston African American NHS,"390,765",63.34%
MA,Boston Harbor Islands NRA,"29,241",40.74%
MA,Boston NHP,"2,123,246",93.34%
MA,Cape Cod NS,"3,968,672",-1.21%
MA,Frederick Law Olmsted NHS,"14,148",229.02%
MA,John F. Kennedy NHS,100,
MA,Longfellow House Washington's HQ NHS,"60,558",68.71%
MA,Lowell NHP,"209,284",320.92%
MA,Minute Man NHP,"960,343",-2.32%
