Name,Type,Park Code,Org Code,Region,Park
SALINAS PUEBLO MISSIONS    ,NM,SAPU,7260,IMR,SALINAS PUEBLO MISSIONS NM
SALT RIVER BAY ,NHP & ECO PRES,SARI,0,SER,SALT RIVER BAY NHP & ECO PRES
SAN ANTONIO MISSIONS   ,NHP,SAAN,7600-7609,IMR,SAN ANTONIO MISSIONS NHP
SAN FRANCISCO MARITIME    ,NHP,SAFR,8520,PWR,SAN FRANCISCO MARITIME NHP
SANTA MONICA MOUNTAINS    ,NRA,SAMO,8540-8549,PWR,SANTA MONICA MOUNTAINS NRA
SAN JUAN,NHS,SAJU,5331-5334,SER,SAN JUAN NHS
SAN JUAN ISLAND   ,NHP,SAJH,9530,PWR,SAN JUAN ISLAND NHP
SEQUOIA    ,NP,SEKI,8551-8564,PWR,SEQUOIA NP
SAND CREEK MASSACRE,NHS,SAND,1315,IMR,SAND CREEK MASSACRE NHS
SARATOGA NATIONAL HISTORICAL PARK,NHP,SARA,1910,NER,SARATOGA NATIONAL HISTORICAL PARK NHP
SAUGUS IRON WORKS  ,NHS,SAIR,1920,NER,SAUGUS IRON WORKS NHS
SCOTTS BLUFF     ,NM,SCBL,6700,MWR,SCOTTS BLUFF NM
SELMA TO MONTGOMERY,NHT,SEMO,5685,SER,SELMA TO MONTGOMERY NHT
SHENANDOAH  ,NP,SHEN,4840-4847,NER,SHENANDOAH NP
SHILOH       ,NMP,SHIL,5580&5589,SER,SHILOH NMP
SITKA    ,NHP,SITK,9835,AKR,SITKA NHP
SLEEPING BEAR DUNES     ,NL,SLBE,6620,MWR,SLEEPING BEAR DUNES NL
SPRINGFIELD ARMORY  ,NHS,SPAR,1930,NER,SPRINGFIELD ARMORY NHS
STATUE OF LIBERTY AND ELLIS ISLAND,NM,STLI,1940,NER,STATUE OF LIBERTY AND ELLIS ISLAND NM
STEAMTOWN  ,NHS,STEA,4810,NER,STEAMTOWN NHS
STONES RIVER       ,NB,STRI,5580&5589,SER,STONES RIVER NB
SUNSET CRATER VOLCANO    ,NM,SUCR,7475,IMR,SUNSET CRATER VOLCANO NM
TALLGRASS PRAIRIE     ,NPRES,TAPR,6355,MWR,TALLGRASS PRAIRIE NPRES
THADDEUS KOSCIUSZKO  ,NMEM,THKO,4460,NER,THADDEUS KOSCIUSZKO NMEM
THEODORE ROOSEVELT     ,NP,THRO,1540 - 1545,MWR,THEODORE ROOSEVELT NP
THEODORE ROOSEVELT BIRTHPLACE  ,NHS,THRB,1816,NER,THEODORE ROOSEVELT BIRTHPLACE NHS
THOMAS EDISON      ,NHP,EDIS,1840,NER,THOMAS EDISON NHP
THOMAS STONE  ,NHS,THST,4850,NER,THOMAS STONE NHS
TIMPANOGOS CAVE    ,NM,TICA,1550,IMR,TIMPANOGOS CAVE NM
TIMUCUAN ECOLOGICAL     ,PRES,TIMU,5308,SER,TIMUCUAN ECOLOGICAL PRES
TONTO    ,NM,TONT,8680,IMR,TONTO NM
TULE LAKE,NM,TULE,8410,PWR,TULE LAKE NM
TULE SPRINGS FOSSIL BEDS,NM,TUSK,8379,PWR,TULE SPRINGS FOSSIL BEDS NM
TUMACACORI     ,NHP,TUMA,8690,IMR,TUMACACORI NHP
TUSKEGEE AIRMEN       ,NHS,TUAI,5682,SER,TUSKEGEE AIRMEN NHS
TUSKEGEE INSTITUTE      ,NHS,TUIN/      SEMO,5680,SER,TUSKEGEE INSTITUTE NHS
TUZIGOOT    ,NM,TUZI,8650,IMR,TUZIGOOT NM
ULYSSES S. GRANT       ,NHS,ULSG,6519,MWR,ULYSSES S. GRANT NHS
UPPER DELAWARE ,S&RR,UPDE,4870,NER,UPPER DELAWARE S&RR
VALLES CALDERA,NPRES,VALL,"1290-1297
",IMR,VALLES CALDERA NPRES
VALLEY FORGE  ,NHP,VAFO,4860,NER,VALLEY FORGE NHP
VICKSBURG       ,NMP,VICK,5600-5609,SER,VICKSBURG NMP
VIRGIN ISLANDS     ,NP,VIIS,5661-5365,SER,VIRGIN ISLANDS NP
VIRGIN ISLANDS CORAL REEF,NM,VICR,5661-5365,SER,VIRGIN ISLANDS CORAL REEF NM
VOYAGEURS     ,NP,VOYA,6820,MWR,VOYAGEURS NP
WACO MAMMOTH,NM,WACO,7730,IMR,WACO MAMMOTH NM
WALNUT CANYON    ,NM,WACA,7475,IMR,WALNUT CANYON NM
WAR IN THE PACIFIC   ,NHP,WAPA,8790,PWR,WAR IN THE PACIFIC NHP
WASHITA BATTLEFIELD       ,NHS,WABA,7720,IMR,WASHITA BATTLEFIELD NHS
WEIR FARM  ,NHS,WEFA,1953,NER,WEIR FARM NHS
WHISKEYTOWN ,NRA,WHIS,8750,PWR,WHISKEYTOWN NRA
WHITE SANDS    ,NM,WHSA,7810,IMR,WHITE SANDS NM
WHITMAN MISSION      ,NHS,WHMI,9550,PWR,WHITMAN MISSION NHS
WILLIAM HOWARD TAFT       ,NHS,WIHO,6820,MWR,WILLIAM HOWARD TAFT NHS
WILSON’S CREEK     ,NB,WICR,6370,MWR,WILSON’S CREEK NB
WIND CAVE     ,NP,WICA,1560 - 1561,MWR,WIND CAVE NP
WOLF TRAP PARK FOR THE PERFORMING ARTS,OTHER,WOTR,3801-3817,NCR,WOLF TRAP PARK FOR THE PERFORMING ARTS OTHER
WOMEN'S RIGHTS  ,NHP,WORI,1955,NER,WOMEN'S RIGHTS NHP
WRANGELL-ST. ELIAS     ,NP,WRST,9865,AKR,WRANGELL-ST. ELIAS NP
WRANGELL-ST. ELIAS     ,NPRES,WRST,9865,AKR,WRANGELL-ST. ELIAS NPRES
WRIGHT BROTHERS     ,NMEM,WRBR,5187,SER,WRIGHT BROTHERS NMEM
WUPATKI    ,NM,WUPA,7475,IMR,WUPATKI NM
YELLOWSTONE    ,NP,YELL,1570 -  1581,IMR,YELLOWSTONE NP
YOSEMITE    ,NP,YOSE,8895,PWR,YOSEMITE NP
YUCCA HOUSE    ,NM,YUHO,1499,IMR,YUCCA HOUSE NM
ZION    ,NP,ZION,1590-1596,IMR,ZION NP
