Name,Type,Park Code,Org Code,Region,Park
COLONIAL ,NHP,COLO,4290-4299,NER,COLONIAL NHP
COLORADO    ,NM,COLM,1378,IMR,COLORADO NM
COLTSVILLE**,NHP,COLT,**Authorized NOT established,NER,COLTSVILLE** NHP
CONGAREE      ,NP,CONG,5240,SER,CONGAREE NP
CORONADO    ,NMEM,CORO,8630,IMR,CORONADO NMEM
COWPENS     ,NB,COWP,5510,SER,COWPENS NB
CRATER LAKE    ,NP,CRLA,9320 - 9324,PWR,CRATER LAKE NP
CRATERS OF THE MOON    ,NPRES,CRMO,9280,PWR,CRATERS OF THE MOON NPRES
CRATERS OF THE MOON    ,NM,CRMO,9280,PWR,CRATERS OF THE MOON NM
CUMBERLAND GAP      ,NHP,CUGA,5230,SER,CUMBERLAND GAP NHP
CUMBERLAND ISLAND     ,NS,CUIS,5630,SER,CUMBERLAND ISLAND NS
CURECANTI    ,NRA,CURE,1379,IMR,CURECANTI NRA
CUYAHOGA VALLEY     ,NP,CUVA,6160-6169,MWR,CUYAHOGA VALLEY NP
DAYTON AVIATION HERITAGE,NHP,DAAV,6295,MWR,DAYTON AVIATION HERITAGE NHP
DEATH VALLEY    ,NP,DEVA,8130-8138,PWR,DEATH VALLEY NP
DE SOTO     ,NMEM,DESO,5300,SER,DE SOTO NMEM
DELAWARE WATER GAP ,NRA,DEWA,4320,NER,DELAWARE WATER GAP NRA
DENALI     ,NP,DENA,"9830-9834, 
9836-9839",AKR,DENALI NP
DENALI     ,NPRES,DENA,"9830-9834, 
9836-9839",AKR,DENALI NPRES
DEVILS TOWER    ,NM,DETO,1390,IMR,DEVILS TOWER NM
DINOSAUR    ,NM,DINO,1400-1405,IMR,DINOSAUR NM
DEVILS POSTPILE    ,NM,DEPO,8590,PWR,DEVILS POSTPILE NM
DRY TORTUGAS     ,NP,DRTO,5281-5299,SER,DRY TORTUGAS NP
EBEY'S LANDING NATIONAL HISTORICAL RESERVE  ,OTHER,EBLA,9290,PWR,EBEY'S LANDING NATIONAL HISTORICAL RESERVE OTHER
EDGAR ALLAN POE  ,NHS,EDAL,4330,NER,EDGAR ALLAN POE NHS
EFFIGY MOUNDS     ,NM,EFMO,6290,MWR,EFFIGY MOUNDS NM
EISENHOWER  ,NHS,EISE,4410,NER,EISENHOWER NHS
EL MALPAIS    ,NM,ELMA,7190,IMR,EL MALPAIS NM
EL MORRO    ,NM,ELMO,7410,IMR,EL MORRO NM
EUGENE O'NEILL      ,NHS,EUON,8190,PWR,EUGENE O'NEILL NHS
EVERGLADES     ,NP,EVER,5281-5299,SER,EVERGLADES NP
